rental_id,rental_date,rental_time,return_date,owner_id,car_id,customer_id,rental_status
1001,44270,44270,44270,7,3,10,1
1002,44384,44384,44385,11,13,9,1
1003,43113,43113,43113,22,9,17,1
1004,43563,43563,43563,12,4,10,1
1005,43217,43217,43217,20,23,10,1
1006,43492,43492,43501,19,11,17,1
1007,43603,43603,43608,3,7,20,0
1008,43740,43740,43742,13,1,20,1
1009,44382,44382,44382,2,20,8,1
1010,43274,43274,43274,20,22,25,1
1011,44449,44449,44449,2,20,25,1
1012,44184,44184,44185,22,9,12,1
1013,43451,43451,43451,11,13,2,1
1014,43360,43360,43360,18,2,8,1
1015,43195,43195,43196,14,6,6,1
1016,43570,43570,43574,2,12,5,0
1017,43512,43512,43512,2,12,21,1
1018,44050,44050,44050,3,24,9,1
1019,44170,44170,44170,2,20,8,1
1020,43932,43932,43932,7,16,20,1
1021,43818,43818,43818,3,24,15,1
1022,44030,44030,44030,13,1,24,1
1023,44100,44100,44100,7,14,13,1
1024,43531,43531,43531,19,11,9,1
