payment_id,rental_id,payment_amount,add_charges,payment_date,admin_id
10001,1001,2000,0,44270,23
10002,1002,2000,0,44385,11
10003,1003,1000,0,43113,7
10004,1004,2000,0,43563,23
10005,1005,1000,0,43217,23
10006,1006,10000,200,43501,7
10007,1007,6000,400,43608,25
10008,1008,3000,0,43742,25
10009,1009,1000,0,44382,11
10010,1010,1000,0,43274,16
10011,1011,1000,0,44449,16
10012,1012,2000,0,44185,12
10013,1013,1000,0,43451,23
10014,1014,2000,0,43360,11
10015,1015,4000,200,43196,8
10016,1016,5000,200,43574,9
10017,1017,1000,0,43512,21
10018,1018,1000,0,44050,11
10019,1019,1000,0,44170,11
10020,1020,1000,0,43932,25
10021,1021,1000,0,43818,19
10022,1022,1000,0,44030,17
10023,1023,1000,0,44100,15
10024,1024,1000,0,43531,11
